Concept,# Imgs,Type,Sort Method for Colabels,Rule w/ Max F1,Simplified Rule,F1 SCORE,PRECISION,RECALL,True Pos (tp),All Pos (tp+fp),All Targets (tp+fn),Implicit True Negative (tn),Implicit False Negative (fn),Implicit Unlabeled,Implicit Accuracy (tn/(tn+fn))
spatula,260,obj,F1,(pan & pizza) | (pan & utensil) | (pepperoni & utensil),(pizza & pan) | (pepperoni & utensil) | (utensil & pan),0.1725,0.1392,0.2269,59,424,260,104319,73,3685,0.9993007127
cheek,328,obj,F1,(chin) | (rose-colored),rose-colored | chin,0.1724,0.127,0.2683,88,693,328,107144,240,693,0.9977650302
balloon,309,obj,F1,(ballon) | (hyperbolic) | (inflatable),hyperbolic | ballon | inflatable,0.172,0.2564,0.1294,40,156,309,107652,269,156,0.997507436
nike,450,attr,F1,(headband & tennis) | (headband & tennisracket) | (headband & wristband) | (tennisracket & wristband),(tennisracket | headband) & (wristband | headband) & (tennisracket | wristband | tennis),0.172,0.1612,0.1844,83,515,450,104580,253,3244,0.9975866378
day,1301,obj,F1,(cheery) | (necessitate) | (scene),scene | cheery | necessitate,0.1717,0.1288,0.2575,335,2601,1301,104510,966,2601,0.9908415184
sandwhich,122,obj,F1,(boodle & bread & pickle) | (boodle & bread & sandwich) | (bread & pickle & sandwich) | (bread & pickle & toasted),bread & (boodle | pickle) & (sandwich | pickle) & (boodle | toasted | sandwich),0.1716,0.1224,0.2869,35,286,122,105344,15,2718,0.9998576296
khaki,894,attr,F1,(khakipants & shortpants) | (khakipants & tan) | (khakipants & trouser) | (pocket & shortpants) | (shortpants & tan) | (tan & trouser),(trouser & khakipants) | (trouser & tan) | (khakipants & tan) | (khakipants & shortpants) | (tan & shortpants) | (shortpants & pocket),0.1715,0.1207,0.2964,265,2196,894,81411,88,26578,0.9989202322
distance,2022,obj,F1,(background & hill) | (background & mountain) | (background & sky) | (mountain & sky),(background | sky) & (background | mountain) & (hill | sky | mountain),0.1712,0.1175,0.315,637,5420,2022,75615,446,32016,0.9941362853
hit,201,attr,F1,(racket & reach) | (racket & umpire) | (reach & swing) | (reach & umpire),(umpire | reach) & (reach | racket) & (swing | umpire | racket),0.1709,0.1198,0.2985,60,501,201,103665,32,4380,0.9996914086
passenger,1094,attr,F1,(engine & station) | (path & station) | (path & train) | (platform & train) | (station & train),(train | station) & (engine | train | path) & (station | platform | path),0.1704,0.1124,0.3519,385,3426,1094,98944,468,8665,0.9952923188
stacked,1286,attr,F1,stack,stack,0.1703,0.1639,0.1773,228,1391,1286,105628,1058,1391,0.9900830474
waterbottle,482,obj,F1,(bottle & fictile) | (desk & eyelid),(desk & eyelid) | (bottle & fictile),0.1703,0.115,0.3278,158,1374,482,95182,126,12769,0.9986779704
lavish,243,attr,F1,(doll & teddy) | (plaything & stuffed) | (plaything & teddy),(doll & teddy) | (teddy & plaything) | (plaything & stuffed),0.1701,0.1335,0.2346,57,427,243,105517,114,2446,0.9989207714
layered,118,attr,F1,(cake & layer) | (frost & grade) | (frost & weddingcake),(grade & frost) | (weddingcake & frost) | (layer & cake),0.17,0.2073,0.1441,17,82,118,106107,62,1908,0.9994160254
moss,455,obj,F1,(bark & boulder) | (bark & turn) | (moss-grown & rock) | (rock & turn),(rock & moss-grown) | (rock & turn) | (boulder & bark) | (bark & turn),0.17,0.1455,0.2044,93,639,455,98033,137,9907,0.9986044616
shop,1426,obj,F1,(awning & display) | (awning & sidewalk) | (awning & sign) | (awning & street) | (display & sidewalk) | (display & sign),(awning | display) & (sidewalk | awning | sign) & (sidewalk | display | street | sign),0.1699,0.1769,0.1634,233,1317,1426,83108,265,24704,0.996821513
latch,243,obj,F1,(baggage & hinge) | (baggage & lock) | (brass & lock) | (case & hinge) | (case & lock) | (hinge & lock),(lock | hinge) & (lock | case | baggage) & (brass | case | hinge | baggage),0.1694,0.252,0.1276,31,123,243,104548,143,3386,0.9986340755
leafless,985,attr,F1,(bare & branch) | (bare & dead) | (bare & dry) | (bare & limb) | (branch & dry) | (dry & limb),(dry | bare) & (limb | branch | bare) & (limb | branch | dead | dry),0.1693,0.149,0.1959,193,1295,985,98093,389,9595,0.9960500396
office,300,obj,F1,(desk & monitor) | (desk & officechair) | (monitor & officechair) | (mouse & officechair),(monitor | officechair) & (officechair | desk) & (monitor | desk | mouse),0.1692,0.1134,0.3333,100,882,300,104864,104,3109,0.9990092219
exceed,2100,rel,F1,(on & one) | (on & some) | (on & tower) | (one & some),(one | on) & (some | on) & (one | some | tower),0.1691,0.1763,0.1624,341,1934,2100,78584,655,28838,0.9917338684
float,887,rel,F1,(boat & buoy) | (boat & calm) | (buoy & calm) | (buoy & ripple) | (calm & ripple) | (dock & ripple),(dock & ripple) | (calm & buoy) | (calm & boat) | (calm & ripple) | (buoy & boat) | (buoy & ripple),0.1688,0.1429,0.2063,183,1281,887,102101,487,5489,0.9952528561
rotter,483,obj,F1,(bread & cake) | (bread & crust) | (cake & crust) | (cake & frosting) | (cocoa & frosting),(bread & crust) | (bread & cake) | (frosting & cocoa) | (frosting & cake) | (crust & cake),0.1688,0.138,0.2174,105,761,483,103474,163,4440,0.9984272026
tissuebox,124,obj,F1,tissue,tissue,0.1684,0.1027,0.4677,58,565,124,107446,66,565,0.999386115
lunch,146,obj,F1,(meal & sandwich) | (meal & tomatoslice) | (one-half & sandwich) | (sandwich & tomatoslice),(tomatoslice | sandwich) & (meal | sandwich) & (tomatoslice | meal | one-half),0.1683,0.1595,0.1781,26,163,146,106276,66,1735,0.9993793609
choppy,471,attr,F1,(crash & surfboard) | (crash & surfer) | (wave & wetsuit),(wave & wetsuit) | (surfer & crash) | (surfboard & crash),0.1682,0.119,0.2866,135,1134,471,103136,125,4816,0.9987894752
slat,496,obj,F1,(armrest & bench) | (bench & horizontal) | (bench & wood),bench & (wood | armrest | horizontal),0.1682,0.1243,0.2601,129,1038,496,94323,177,13577,0.9981269841
stall,166,obj,F1,(bathroom & dispenser) | (bathroom & urinal) | (dispenser & publictoilet) | (dispenser & urinal) | (plumbing & publictoilet),(plumbing & publictoilet) | (urinal & bathroom) | (urinal & dispenser) | (bathroom & dispenser) | (dispenser & publictoilet),0.1681,0.129,0.241,40,310,166,105593,72,2412,0.9993186012
highway,245,obj,F1,(expressway) | (overpass),expressway | overpass,0.168,0.1647,0.1714,42,255,245,107619,203,255,0.9981172673
motley,1155,attr,F1,(colorful & kite) | (colorful & multicolored) | (colorful & rainbow) | (colorful & umbrella) | (kite & multicolored) | (kite & rainbow) | (kite & umbrella) | (multicolored & rainbow) | (multicolored & umbrella) | (rainbow & umbrella),(multicolored & umbrella) | (multicolored & rainbow) | (multicolored & kite) | (multicolored & colorful) | (umbrella & rainbow) | (umbrella & kite) | (umbrella & colorful) | (rainbow & kite) | (rainbow & colorful) | (kite & colorful),0.168,0.1588,0.1784,206,1297,1155,98416,652,9009,0.9934186619
bank,349,obj,F1,(boggy & calm) | (boggy & river) | (calm & riverbank) | (lake & river) | (river & riverbank),(river | calm) & (lake | boggy | riverbank) & (river | boggy | riverbank),0.1678,0.1969,0.1461,51,259,349,103860,178,4039,0.9982890867
audience,203,obj,F1,(bleacher & spectator) | (bleacher & stadium) | (game & spectator) | (game & stadium) | (game & tennismatch) | (spectator & tennismatch),(bleacher & spectator) | (bleacher & stadium) | (spectator & tennismatch) | (spectator & game) | (tennismatch & game) | (game & stadium),0.1677,0.1434,0.202,41,286,203,105973,95,2009,0.9991043482
smuggler,110,obj,F1,(ballfield & first) | (ballfield & third) | (ballplayer & baseman) | (ballplayer & first) | (ballplayer & third) | (baseman & first),(third & ballplayer) | (third & ballfield) | (baseman & ballplayer) | (baseman & first) | (ballplayer & first) | (ballfield & first),0.1677,0.2456,0.1273,14,57,110,106782,81,1214,0.9992420202
paint,1893,obj,F1,(chip) | (graffito) | (skin),skin | graffito | chip,0.1676,0.157,0.1796,340,2165,1893,104359,1553,2165,0.9853368835
dawdler,457,obj,F1,(cab & tractor) | (cab & truck) | (camper & truck) | (semifinal & truck) | (tractor & truck),(cab | truck) & (tractor | truck) & (cab | tractor | camper | semifinal),0.1675,0.1816,0.1554,71,391,457,103447,196,4434,0.998108893
fabric,2870,obj,F1,(blanket) | (tablecloth),tablecloth | blanket,0.1674,0.1518,0.1868,536,3532,2870,102211,2334,3532,0.9776746855
out,468,attr,F1,(tongue) | (tounge),tongue | tounge,0.1672,0.1402,0.2073,97,692,468,107014,371,692,0.9965451413
boulder,469,obj,F1,(enclosure & rock) | (giraffe & rock) | (menagerie & rock) | (menagerie & rocky) | (rock & rocky),(menagerie | rock) & (rock | rocky) & (menagerie | giraffe | enclosure | rocky),0.1669,0.1103,0.3433,161,1460,469,98303,74,9700,0.9992477917
burn,124,attr,F1,(basil & bubble) | (bubble & burned) | (burned & fire) | (candle & fire),(basil & bubble) | (bubble & burned) | (fire & burned) | (fire & candle),0.1667,0.1571,0.1774,22,140,124,105570,47,2460,0.9995549959
cookie,238,obj,F1,(chocolate) | (chocolatechip) | (cupcake),chocolate | cupcake | chocolatechip,0.1667,0.129,0.2353,56,434,238,107461,182,434,0.9983092259
date,189,obj,F1,(datestamp) | (time) | (timestamp),timestamp | datestamp | time,0.1667,0.2252,0.1323,25,111,189,107802,164,111,0.9984810033
piece,1083,obj,F1,(broccoli) | (slice),broccoli | slice,0.1664,0.1266,0.2428,263,2078,1083,105179,820,2078,0.992264078
fixture,953,obj,F1,(ceiling) | (shower),ceiling | shower,0.1661,0.1032,0.4239,404,3913,953,103615,549,3913,0.9947294651
straw,1061,obj,F1,(drink) | (hay),drink | hay,0.166,0.127,0.2394,254,2000,1061,105270,807,2000,0.9923923188
top,6588,obj,F1,(be & in & woman) | (be & of & red) | (be & of & woman) | (be & red & woman) | (in & of & woman) | (in & red & woman) | (of & red & woman),(red | woman) & (woman | of) & (woman | be) & (red | in | of) & (red | in | be) & (red | of | be) & (in | of | be),0.166,0.1068,0.3723,2453,22963,6588,8101,145,99831,0.9824157167
brass,442,attr,F1,(bathroom & doorknob) | (bathtub & doorknob) | (bathtub & gold) | (doorknob & gold) | (gold & knob),(gold | doorknob) & (knob | bathtub | doorknob) & (bathroom | gold | bathtub),0.1659,0.1644,0.1674,74,450,442,99756,195,8126,0.998049044
balcony,1205,obj,F1,(arched & tower) | (building & railing) | (clock & railing),(railing & building) | (railing & clock) | (tower & arched),0.1658,0.1287,0.2332,281,2184,1205,81179,143,26755,0.9982415582
elephant's,120,attr,F1,(babyelephant & ivory) | (elephant & ofan) | (elephanttrunk & ivory),(elephanttrunk & ivory) | (ofan & elephant) | (ivory & babyelephant),0.1658,0.1203,0.2667,32,266,120,105517,0,2560,1
license,409,attr,F1,licenseplate,licenseplate,0.1658,0.1018,0.4474,183,1798,409,106053,226,1798,0.9978735216
bud,172,obj,F1,(bloom & flowerbud) | (bloom & petal) | (bloom & root) | (flowerbud & petal) | (flowerbud & root) | (petal & root),(flowerbud & petal) | (flowerbud & bloom) | (flowerbud & root) | (petal & bloom) | (petal & root) | (bloom & root),0.1657,0.1629,0.1686,29,178,172,105714,97,2266,0.9990832711
notepad,101,obj,F1,(coiling & note) | (coiling & notebook) | (note & notebook) | (note & page) | (notebook & page) | (page & pen),(notebook & page) | (notebook & note) | (notebook & coiling) | (pen & page) | (page & note) | (note & coiling),0.1657,0.1875,0.1485,15,80,101,106314,39,1724,0.9996332967
pump,137,obj,F1,(gaspump) | (gasstation),gaspump | gasstation,0.1657,0.3409,0.1095,15,44,137,107911,122,44,0.9988707154
abdomen,565,obj,F1,(beak & mane) | (bulky & hoof) | (bulky & mane) | (bulky & zebra) | (mane & zebra),(mane | bulky) & (hoof | zebra | mane) & (zebra | bulky | beak),0.1655,0.1356,0.2124,120,885,565,102564,282,5231,0.9972580363
butterknife,136,obj,F1,(butter & fork) | (butter & knife) | (knife & silverknife) | (knife & silverware),(butter | knife) & (knife | fork) & (butter | silverware | silverknife),0.1655,0.119,0.2721,37,311,136,104402,13,3662,0.9998754968
aftermath,218,obj,F1,(boat & cabin) | (boat & choppy) | (boat & motor),boat & (choppy | motor | cabin),0.1652,0.1322,0.2202,48,363,218,104334,89,3654,0.9991476973
weed,1386,obj,F1,(dead & shrub) | (dead & turn) | (field & shrub) | (field & turn) | (grass & turn) | (shrub & turn),(shrub | turn) & (field | dead | turn) & (field | shrub | grass | dead),0.1652,0.1202,0.2641,366,3046,1386,83029,254,24794,0.9969501579
handtowel,106,obj,F1,(bathtowel) | (washcloth),bathtowel | washcloth,0.1651,0.1607,0.1698,18,112,106,107877,88,112,0.999184921
sculpture,352,obj,F1,(carving) | (statue),statue | carving,0.1649,0.1036,0.4034,142,1370,352,106497,210,1370,0.9980319942
silencer,135,obj,F1,(exhaust & exhaustpipe) | (exhaust & handlebar) | (fueltank & handlebar),(exhaustpipe & exhaust) | (fueltank & handlebar) | (handlebar & exhaust),0.1649,0.2712,0.1185,16,59,135,106958,81,1038,0.9992432665
blend,111,rel,F1,(add) | (blended) | (stir),stir | add | blended,0.1648,0.2113,0.1351,15,71,111,107910,96,71,0.9991111605
night,275,attr,F1,(illuminated & lighted) | (illuminated & nightsky) | (illuminated & streetlight) | (lighted & nightsky) | (lighted & streetlight),(illuminated | lighted) & (streetlight | nightsky | illuminated) & (streetlight | nightsky | lighted),0.1647,0.1506,0.1818,50,332,275,103198,152,4727,0.9985292695
pineapple,188,obj,F1,(avocado & fruit) | (avocado & produce) | (fruit & melon) | (fruit & produce) | (produce & watermelon),(produce | fruit) & (melon | avocado | produce) & (avocado | watermelon | fruit),0.1647,0.1842,0.1489,28,152,188,106213,103,1761,0.99903119
gree,198,attr,F1,(ellow) | (gre) | (orage) | (walkig),ellow | orage | gre | walkig,0.1646,0.2077,0.1364,27,130,198,107776,171,130,0.9984158893
commercial,226,attr,F1,(airliner) | (coal-black),airliner | coal-black,0.1644,0.1652,0.1637,37,224,226,107664,189,224,0.9982476148
city,1287,obj,F1,(horizon) | (skyscraper) | (traffic),horizon | skyscraper | traffic,0.1643,0.1296,0.2246,289,2230,1287,104849,998,2230,0.9905712963
patch,668,attr,F1,(broccoli & chopped) | (broccoli & meat) | (broccoli & slice) | (chopped & slice) | (meat & slice) | (slice & vegetable),(broccoli | slice) & (meat | chopped | slice) & (meat | chopped | broccoli | vegetable),0.1638,0.1345,0.2096,140,1041,668,103067,345,4665,0.9966638301
drop,241,obj,F1,(droplet) | (dunk) | (raindrop) | (waterdrop),dunk | waterdrop | raindrop | droplet,0.1635,0.1943,0.1411,34,175,241,107695,207,175,0.9980815926
bright,5247,attr,F1,(clean & light) | (clean & sky) | (dark & light) | (dark & sky) | (large & sky) | (light & sky),(sky | light) & (clean | sky | dark) & (clean | large | dark | light),0.1634,0.1027,0.3991,2094,20389,5247,42242,994,64841,0.9770098992
kitten,254,obj,F1,(cat & cunning) | (cat's & paw) | (cunning & hair's-breadth) | (hair's-breadth & paw),(cat's & paw) | (cunning & cat) | (cunning & hair's-breadth) | (hair's-breadth & paw),0.1632,0.1216,0.248,63,518,254,103576,54,4447,0.9994789154
traincars,145,obj,F1,(boxcar & traincar) | (boxcar & trainengine) | (boxcar & traintracks) | (traincar & traintracks),(boxcar | traincar) & (boxcar | traintracks) & (trainengine | traincar | traintracks),0.1632,0.1319,0.2138,31,235,145,106548,48,1481,0.9995497017
cloudless,960,attr,F1,clean & sky,clean & sky,0.1631,0.094,0.6135,589,6264,960,76942,2,31133,0.9999740071
bead,179,obj,F1,beaded,beaded,0.1627,0.2069,0.1341,24,116,179,107806,155,116,0.9985642964
drive,1254,attr,F1,(bus & car) | (bus & driver) | (car & driver) | (car & road) | (driver & headlight) | (driver & road),(driver | car) & (driver | road | bus) & (headlight | road | bus | car),0.1626,0.1012,0.4131,518,5119,1254,88781,275,19021,0.9969120553
lemon,385,obj,F1,(fruit & lime) | (fruit & ripe) | (lime & ripe) | (lime & slice) | (lime & wedge) | (ripe & slice) | (slice & wedge),(ripe | lime | wedge) & (ripe | lime | slice) & (lime | slice | fruit) & (ripe | wedge | slice | fruit),0.1626,0.17,0.1558,60,353,385,104439,183,3455,0.9982508459
celery,103,obj,F1,(broccoli & carrot & chaff) | (carrot & chaff & vegetable) | (carrot & radish & vegetable),carrot & (radish | chaff) & (chaff | vegetable) & (broccoli | vegetable),0.1622,0.2667,0.1165,12,45,103,105316,12,2749,0.9998860702
wrinkle,589,obj,F1,(brow & elephant) | (brow & wrinkled) | (elephant & skin) | (elephant & wrinkled) | (skin & wrinkled),(wrinkled | elephant) & (wrinkled | skin | brow) & (skin | brow | elephant),0.1622,0.1943,0.1392,82,422,589,103783,370,3924,0.9964475339
barn,279,obj,F1,farm,farm,0.162,0.2288,0.1254,35,153,279,107680,244,153,0.9977391498
desert,143,obj,F1,(abandon) | (dessert),abandon | dessert,0.162,0.1108,0.3007,43,388,143,107589,100,388,0.9990714001
photograph,3242,obj,F1,(day) | (necessitate) | (picture),picture | day | necessitate,0.162,0.1182,0.2572,834,7055,3242,98614,2408,7055,0.9761636079
skiis,212,obj,F1,(ski & skiier) | (ski & skislope) | (skier & skiier) | (skipole & skislope),(skislope & skipole) | (skislope & ski) | (ski & skiier) | (skier & skiier),0.1617,0.139,0.1934,41,295,212,104916,20,3141,0.9998094076
cab,665,obj,F1,(crossing & taxicab) | (crossing & truck) | (crossing & van) | (dawdler & truck) | (taxicab & truck) | (taxicab & van),(truck & crossing) | (truck & taxicab) | (truck & dawdler) | (crossing & taxicab) | (crossing & van) | (taxicab & van),0.1612,0.1961,0.1368,91,464,665,101592,259,6226,0.9974570696
barroom,2310,obj,F1,(bathroom & metallic) | (bicycle & metallic) | (bicycle & seat) | (metallic & seat) | (motorcycle & seat),(metallic | seat) & (metallic | motorcycle | bicycle) & (seat | bathroom | bicycle),0.1609,0.1388,0.1913,442,3184,2310,80791,797,26489,0.9902314066
livingroom,101,obj,F1,(armchair & coffeetable) | (coffeetable & endtable) | (coffeetable & loveseat) | (endtable & populate) | (loveseat & populate),(coffeetable | populate) & (coffeetable | loveseat | endtable) & (loveseat | endtable | armchair),0.1607,0.1463,0.1782,18,123,101,107142,44,891,0.9995894986
jersey,1932,obj,F1,(gymshoe & malechild) | (gymshoe & shortpants) | (gymshoe & skateboard) | (jean & malechild) | (jean & skateboard) | (malechild & skateboard) | (shortpants & skateboard),(skateboard | jean | gymshoe) & (skateboard | gymshoe | malechild) & (skateboard | malechild | shortpants) & (jean | gymshoe | malechild | shortpants),0.1606,0.1211,0.2381,460,3798,1932,89488,676,17913,0.9925025509
radiator,212,obj,F1,(heat) | (heater),heater | heat,0.1606,0.1658,0.1557,33,199,212,107699,179,199,0.9983407182
bleacher,354,obj,F1,(spectator) | (stadium),spectator | stadium,0.1605,0.1043,0.3475,123,1179,354,106667,231,1179,0.9978390615
pin,197,obj,F1,(dough) | (lapel),lapel | dough,0.1604,0.1498,0.1726,34,227,197,107687,163,227,0.9984886416
pine,760,attr,F1,(evergreen) | (slope),slope | evergreen,0.1604,0.1206,0.2395,182,1509,760,105990,578,1509,0.994576233
scope,257,obj,F1,(dishwasher & oven) | (dishwasher & stove) | (gas & kitchen) | (gas & oven) | (oven & stove),(gas & kitchen) | (gas & oven) | (dishwasher & stove) | (dishwasher & oven) | (stove & oven),0.1604,0.1076,0.3152,81,753,257,105176,123,2778,0.9988318977
state,1719,rel,F1,(letter & streetsign) | (sign & stop) | (sign & streetsign) | (sign & word) | (streetsign & word),(streetsign | sign) & (streetsign | stop | word) & (letter | sign | word),0.1603,0.1219,0.2339,402,3297,1719,84994,479,22604,0.9943958911
chew_over,655,rel,F1,(contemplation & mirror) | (faucet & mirror),mirror & (contemplation | faucet),0.1599,0.1149,0.2626,172,1497,655,98599,268,9210,0.9972892876
old,4634,attr,F1,(brick & building) | (brick & rusty) | (brick & window) | (brick & wooden) | (building & rusty) | (building & wooden) | (rusty & window) | (rusty & wooden),(rusty | building | brick) & (rusty | brick | wooden) & (rusty | building | window | wooden) & (building | brick | window | wooden),0.1599,0.1265,0.2173,1007,7960,4634,59093,1467,47517,0.9757760898
sleeve,2225,obj,F1,(finger & shirt) | (shirt & short),shirt & (short | finger),0.1597,0.1132,0.2715,604,5337,2225,75576,495,32006,0.9934929211
absolute,206,attr,F1,(bedspread & curtain) | (curtain & footboard) | (curtain & headboard) | (curtain & nightstand),curtain & (nightstand | headboard | bedspread | footboard),0.1596,0.1227,0.2282,47,383,206,104234,30,3813,0.9997122689
rod,624,obj,F1,(bathroom & shower) | (bathroom & showercurtain) | (shower & showercurtain) | (shower & toilet) | (showercurtain & toilet),(showercurtain | shower) & (showercurtain | bathroom | toilet) & (bathroom | toilet | shower),0.1595,0.1587,0.1603,100,630,624,104565,471,3041,0.9955158231
flagpole,123,obj,F1,(american & rangepole) | (apartmentbuilding & flag) | (flag & romannumeral),(rangepole & american) | (romannumeral & flag) | (flag & apartmentbuilding),0.1592,0.2051,0.1301,16,78,123,104095,28,3954,0.9997310873
one-half,211,obj,F1,(boodle & halved) | (half & halved) | (half & sandwich) | (lunch & sandwich),(boodle & halved) | (half & sandwich) | (half & halved) | (sandwich & lunch),0.1591,0.1528,0.1659,35,229,211,105451,109,2517,0.9989674119
shoreline,398,obj,F1,(beach & lake) | (flaxen & ocean) | (flaxen & shore) | (lake & shore) | (ocean & shore),(ocean & flaxen) | (ocean & shore) | (flaxen & shore) | (lake & beach) | (lake & shore),0.1591,0.1088,0.2965,118,1085,398,101659,97,6321,0.9990467393
plugged,129,attr,F1,(charger & mercantileestablishment) | (charger & punch) | (charger & usb) | (mercantileestablishment & punch) | (plug & punch) | (plug & usb) | (punch & usb),(mercantileestablishment | usb | punch) & (usb | charger | punch) & (charger | plug | punch) & (mercantileestablishment | usb | charger | plug),0.159,0.1727,0.1473,19,110,129,106230,49,1798,0.9995389494
booklet,307,obj,F1,(binder) | (envelope) | (file) | (manila),envelope | binder | file | manila,0.1589,0.1522,0.1661,51,335,307,107486,256,335,0.9976239535
cat's,157,attr,F1,(brindled & cat & hair's-breadth) | (brindled & cat & paw) | (cat & hair's-breadth & paw) | (cat & kitten & paw),cat & (brindled | paw) & (hair's-breadth | paw) & (brindled | kitten | hair's-breadth),0.1589,0.1039,0.3376,53,510,157,103793,0,4284,1
female,825,attr,F1,(male) | (tennisplayer),male | tennisplayer,0.1588,0.1131,0.2667,220,1946,825,105526,605,1946,0.9942994978
cage,330,obj,F1,(birdcage) | (feeder),birdcage | feeder,0.1587,0.2299,0.1212,40,174,330,107613,290,174,0.997312401
powerline,930,obj,F1,(electrical) | (power),electrical | power,0.1587,0.1289,0.2065,192,1490,930,105849,738,1490,0.9930760787
flowery,627,attr,F1,(arch & cosmetic) | (arch & romannumeral) | (clock & cosmetic) | (clock & statue) | (cosmetic & statue),(arch & romannumeral) | (arch & cosmetic) | (cosmetic & statue) | (cosmetic & clock) | (statue & clock),0.1586,0.1416,0.1802,113,798,627,100867,316,6894,0.9968769457
printer,158,obj,F1,(computermonitor & monitor) | (desktop & monitor) | (desktop & mousepad) | (monitor & mousepad),(monitor | mousepad) & (monitor | desktop) & (mousepad | computermonitor | desktop),0.1586,0.109,0.2911,46,422,158,106419,60,1598,0.9994365086
bacillus,167,obj,F1,(nitrogen & oxygen) | (nitrogen & vitamine) | (oxygen & uracil) | (oxygen & vitamine) | (radius & uracil) | (radius & vitamine),(uracil & oxygen) | (uracil & radius) | (oxygen & vitamine) | (oxygen & nitrogen) | (radius & vitamine) | (vitamine & nitrogen),0.1585,0.2143,0.1257,21,98,167,107366,132,579,0.9987720702
crate,416,obj,F1,(apple & fruit) | (banana & market) | (banana & produce) | (fruit & produce) | (market & produce),(market & banana) | (market & produce) | (banana & produce) | (produce & fruit) | (apple & fruit),0.1584,0.1385,0.1851,77,556,416,104293,260,3524,0.997513223
dirty,2762,attr,F1,(floor & old) | (floor & pipe) | (floor & soil) | (floor & toilet) | (old & pipe) | (old & soil) | (old & toilet) | (soil & toilet),(floor | soil | old) & (floor | old | toilet) & (floor | soil | toilet | pipe) & (soil | old | toilet | pipe),0.1584,0.1557,0.1611,445,2858,2762,85104,1576,21397,0.9818181818
flock,101,obj,F1,(flocculent & wool) | (herd & sheep) | (sheep & shepherddog),(herd & sheep) | (shepherddog & sheep) | (flocculent & wool),0.1584,0.1188,0.2376,24,202,101,106269,48,1760,0.99954852
parkbench,144,obj,F1,(armrest & slat) | (bench & park) | (bench & slab),(bench & park) | (bench & slab) | (armrest & slat),0.1584,0.0964,0.4444,64,664,144,100876,16,7185,0.9998414146
up,2270,attr,F1,(bathroom & seat) | (bathroom & toiletseat) | (eyelid & toilet) | (eyelid & toiletseat) | (seat & toilet) | (toilet & toiletseat),(seat & bathroom) | (seat & toilet) | (toiletseat & eyelid) | (toiletseat & bathroom) | (toiletseat & toilet) | (eyelid & toilet),0.1583,0.2023,0.13,295,1458,2270,98450,1845,7782,0.9816042674
tablelamp,103,obj,F1,(arearug & lampshade) | (arearug & loveseat) | (bedside & lampshade) | (lampshade & loveseat) | (lampshade & sidetable),(loveseat | lampshade) & (lampshade | arearug) & (loveseat | sidetable | bedside | arearug),0.1582,0.1892,0.1359,14,74,103,107105,55,917,0.9994867488
sell,148,rel,F1,(buy) | (fruitstand) | (seller),fruitstand | buy | seller,0.1581,0.1608,0.1554,23,143,148,107809,125,143,0.9988418849
hillside,784,obj,F1,(grassy & hill) | (grassy & mountain) | (grassy & rocky) | (grassy & slope) | (hill & rocky) | (hill & slope) | (rocky & slope),(grassy | rocky | slope) & (grassy | rocky | hill) & (grassy | slope | hill) & (mountain | rocky | slope | hill),0.158,0.1284,0.2054,161,1254,784,98262,253,9562,0.9974318632
hot,498,attr,F1,(cold) | (hotdog),cold | hotdog,0.158,0.1339,0.1928,96,717,498,106958,402,717,0.9962555887
tanktop,863,obj,F1,(bootless & shortpants) | (bootless & skirt) | (bootless & tank) | (bootless & tennisracket) | (shortpants & skirt) | (shortpants & tank) | (skirt & tank) | (skirt & tennisracket) | (tank & tennisracket),(bootless | skirt | tank) & (tennisracket | shortpants | bootless | skirt) & (tennisracket | shortpants | bootless | tank) & (tennisracket | shortpants | skirt | tank),0.158,0.1772,0.1425,123,694,863,97852,372,9853,0.9962127382
guy,2275,obj,F1,(man & shirt & shortpants) | (man & shirt & skateboard) | (man & skateboard & skateboarder) | (shirt & skateboard & skateboarder),(skateboard & skateboarder & shirt) | (skateboard & skateboarder & man) | (skateboard & shirt & man) | (shirt & man & shortpants),0.1577,0.1121,0.2659,605,5399,2275,65498,137,42442,0.997912699
square,3784,attr,F1,(floor & tile) | (round & table) | (round & tile) | (round & wall) | (tile & wall),(round | tile) & (round | floor | wall) & (wall | table | tile),0.1577,0.115,0.2505,948,8242,3784,62892,1195,43990,0.9813534726
calf,248,obj,F1,(babycow & cattle) | (babycow & cow) | (cattle & cow) | (cow & cow's),(cattle | cow) & (cow | babycow) & (cattle | cow's | babycow),0.1576,0.1579,0.1573,39,247,248,106190,114,1773,0.9989276039
yard,525,obj,F1,(chimney & lawn) | (driveway & house) | (driveway & lawn) | (house & lawn) | (house & porch) | (lawn & porch),(lawn | house) & (lawn | porch | driveway) & (chimney | house | porch | driveway),0.1574,0.1752,0.1429,75,428,525,102051,272,5754,0.9973417511
cabinetdoor,178,obj,F1,(dishwasher & kitchen) | (kitchen & kitchencabinet) | (ovendoor & stove),(kitchencabinet & kitchen) | (dishwasher & kitchen) | (stove & ovendoor),0.1573,0.118,0.236,42,356,178,105628,60,2389,0.9994322913
